"","v024","v025","neo_mort == 1TRUE","se.neo_mort == 1TRUE","nm"
"1.1",1,1,0,0,0
"2.1",2,1,0.0512290960465835,0.0202296462548353,51.2290960465835
"3.1",3,1,0.0246691382355906,0.0253728776737469,24.6691382355906
"4.1",4,1,0.0820565589770198,0.0445552002637698,82.0565589770198
"5.1",5,1,0.0215716658635303,0.0156059216258234,21.5716658635303
"6.1",6,1,0.0698354180583896,0.0264856600242741,69.8354180583896
"7.1",7,1,0.033225945823808,0.0105592670001724,33.225945823808
"8.1",8,1,0,0,0
"9.1",9,1,0,0,0
"10.1",10,1,0.0172229549835599,0.0156999493726859,17.2229549835599
"11.1",11,1,0.0245003369962269,0.0219730627081724,24.5003369962269
"12.1",12,1,0.0260167436378136,0.0249037877316537,26.0167436378136
"13.1",13,1,0,0,0
"14.1",14,1,0.0387230135338046,0.024125292874453,38.7230135338046
"15.1",15,1,0.0184159376547097,0.0163164472528112,18.4159376547097
"16.1",16,1,0,0,0
"17.1",17,1,0.0380856979584354,0.0226891920372886,38.0856979584354
"18.1",18,1,0.0208044446452728,0.0201772885920129,20.8044446452728
"19.1",19,1,0.0201275780947061,0.0192373610892616,20.1275780947061
"20.1",20,1,0,0,0
"21.1",21,1,0,0,0
"22.1",22,1,0,0,0
"23.1",23,1,0.0237342359669083,0.0182924713987198,23.7342359669083
"24.1",24,1,0.0828859382944164,0.01768772280966,82.8859382944164
"25.1",25,1,0.017567185152518,0.0140149826916971,17.567185152518
"26.1",26,1,0.0378823286346574,0.0169056045027119,37.8823286346574
"51.1",51,1,0,0,0
"52.1",52,1,0.0434431390135407,0.0265886348017706,43.4431390135407
"53.1",53,1,0.0221753929695138,0.0155837734283366,22.1753929695138
"54.1",54,1,0.0102739662726853,0.0105588214441908,10.2739662726853
"55.1",55,1,0.0670148452980838,0.0597148357928461,67.0148452980838
"1.2",1,2,0.0359006234172489,0.0191780584015741,35.9006234172489
"2.2",2,2,0.00673415494755124,0.00684255187726329,6.73415494755124
"3.2",3,2,0.0116607887490206,0.0110988789603385,11.6607887490206
"4.2",4,2,0.00651241075616625,0.00664263491852405,6.51241075616625
"5.2",5,2,0.0189842980024556,0.0114134379991503,18.9842980024556
"6.2",6,2,0.0280339533142955,0.0112378839839554,28.0339533142955
"8.2",8,2,0,0,0
"9.2",9,2,0.00966020835389869,0.00939603559919634,9.66020835389869
"10.2",10,2,0.0364634893697261,0.0127913678239733,36.4634893697261
"11.2",11,2,0.031949443117731,0.0166671076453335,31.949443117731
"12.2",12,2,0.0279609115319013,0.0159734361516502,27.9609115319013
"13.2",13,2,0.0274032444091214,0.0115118670985992,27.4032444091214
"14.2",14,2,0.0231682190324157,0.0108692316654722,23.1682190324157
"15.2",15,2,0.0135407046496335,0.00882160723939439,13.5407046496335
"16.2",16,2,0.00519246922931654,0.00528342420686997,5.19246922931654
"17.2",17,2,0.0255675311068253,0.0118835476762357,25.5675311068253
"18.2",18,2,0.00658616824752955,0.00661833285188328,6.58616824752955
"19.2",19,2,0.0457223943294382,0.0168563491182058,45.7223943294382
"20.2",20,2,0.0326018558979048,0.0156441240058641,32.6018558979048
"21.2",21,2,0.00530776216933388,0.00532899789932156,5.30776216933388
"22.2",22,2,0.0585051478078792,0.0246502115966185,58.5051478078792
"23.2",23,2,0.0421449534591739,0.0168300443782354,42.1449534591739
"24.2",24,2,0.00980357040655429,0.00602042496055722,9.80357040655429
"25.2",25,2,0.0270154588968424,0.0109143989960778,27.0154588968424
"26.2",26,2,0.00606065668772608,0.0059747266303567,6.06065668772608
"51.2",51,2,0.0154542210628835,0.00872638972433617,15.4542210628835
"52.2",52,2,0.0264115776565111,0.0115956505766028,26.4115776565111
"53.2",53,2,0.00669560314355799,0.00665858243802559,6.69560314355799
"54.2",54,2,0.0244440617498473,0.0123793762232514,24.4440617498473
"55.2",55,2,0.0274156460891005,0.0136188306181894,27.4156460891005
